sentence,token,position,token_type,analysis_type,pos,dep,conditional_source_entropy_bits,conditional_source_surprisal_bits,conditional_source_topk_entropy_k5_bits,conditional_source_topk_mass_k5,conditional_source_entmax_entropy_bits,conditional_source_entmax_surprisal_bits,conditional_source_entmax_topk_entropy_k5_bits,conditional_source_entmax_topk_mass_k5,conditional_source_entmax_branching_choices,conditional_bigram_source_entropy_bits,conditional_bigram_source_surprisal_bits,conditional_bigram_source_topk_entropy_k5_bits,conditional_bigram_source_topk_mass_k5,conditional_bigram_source_entmax_entropy_bits,conditional_bigram_source_entmax_surprisal_bits,conditional_bigram_source_entmax_topk_entropy_k5_bits,conditional_bigram_source_entmax_topk_mass_k5,conditional_bigram_source_entmax_branching_choices,candidate_idx,target_sentence,conditional_target_entropy_bits,conditional_target_surprisal_bits,conditional_target_topk_entropy_k5_bits,conditional_target_topk_mass_k5,conditional_target_entmax_entropy_bits,conditional_target_entmax_surprisal_bits,conditional_target_entmax_topk_entropy_k5_bits,conditional_target_entmax_topk_mass_k5,conditional_target_entmax_branching_choices,conditional_bigram_target_entropy_bits,conditional_bigram_target_surprisal_bits,conditional_bigram_target_topk_entropy_k5_bits,conditional_bigram_target_topk_mass_k5,conditional_bigram_target_entmax_entropy_bits,conditional_bigram_target_entmax_surprisal_bits,conditional_bigram_target_entmax_topk_entropy_k5_bits,conditional_bigram_target_entmax_topk_mass_k5,conditional_bigram_target_entmax_branching_choices
Do kawiarni weszła kobieta.,pl_PL,0,source,conditional,SPECIAL,SPECIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,▁Do,1,source,conditional,ADP,case,10.95953369140625,11.517392165637068,0.12186691164970398,0.3839711844921112,-0.0,20.0,-0.0,1.0,1.0,11.517664909362793,5.937825862670539,2.2038934230804443,0.25979670882225037,1.775985598564148,20.0,1.7759857177734375,1.0,5.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,▁ka,2,source,conditional,NOUN,obl,3.531219959259033,19.06059053939586,0.6053937673568726,0.8308271765708923,-0.0,20.0,-0.0,1.0,1.0,2.918369770050049,16.610141960419227,0.1878330111503601,0.855737030506134,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,wia,3,source,conditional,NOUN,obl,0.7067534923553467,22.258387359682974,0.40570059418678284,0.9840973615646362,-0.0,20.0,-0.0,1.0,1.0,6.777220726013184,10.87943604702764,0.7775514125823975,0.6542800068855286,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,rni,4,source,conditional,NOUN,obl,8.590051651000977,16.583966248315086,1.5231410264968872,0.532060980796814,0.7215296030044556,20.0,0.7215296030044556,1.0,2.0,12.105293273925781,11.123349384465532,2.2990450859069824,0.2737126648426056,2.2093496322631836,20.0,2.2093496322631836,0.9999999403953552,5.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,▁we,5,source,conditional,VERB,ROOT,12.534223556518555,20.115553508074594,1.3911817073822021,0.3069462180137634,0.8088657855987549,20.0,0.8088657855987549,1.0,2.0,8.497647285461426,14.975752419356793,1.299426794052124,0.5309720635414124,0.38775110244750977,20.0,0.38775110244750977,1.0,2.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,szła,6,source,conditional,VERB,ROOT,6.617103576660156,22.82979236320346,1.2871601581573486,0.6741858124732971,0.08433832228183746,20.0,0.0843384861946106,1.0000001192092896,3.0,9.556495666503906,16.1749040864112,1.7824596166610718,0.4700227975845337,0.9015456438064575,20.0,0.9015457630157471,1.0000001192092896,2.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,▁kobieta,7,source,conditional,NOUN,nsubj,10.584379196166992,16.045248392393145,1.1761680841445923,0.4103463590145111,0.14278662204742432,20.0,0.14278677105903625,1.0000001192092896,2.0,4.85890531539917,11.722619084250654,1.065311312675476,0.7590116262435913,0.16213491559028625,20.0,0.16213491559028625,1.0,2.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,.,8,source,conditional,NOUN,nsubj,7.480708599090576,10.9606088380108,1.7867807149887085,0.6112715005874634,1.055995225906372,20.0,1.055995225906372,1.0000001192092896,3.0,3.698091983795166,0.6205990243595702,0.9749833345413208,0.8523535132408142,0.41879770159721375,0.1278076015531177,0.41879770159721375,1.0,2.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,</s>,9,source,conditional,SPECIAL,SPECIAL,2.5909628868103027,9.768331580344114,0.06675940752029419,0.885261058807373,-0.0,20.0,-0.0,1.0,1.0,3.092174530029297,0.26789262493145904,0.27293625473976135,0.8640738725662231,-0.0,-0.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
